"Timestamp","Name","Email","Wallet Address","How would you rate the experience?
","Any feedback or suggestions for improvement?
"
"2026/04/24 8:33:35 am GMT+5:30","Prem","prembharne455@gmail.com","GDBEORNRS3KCGVOZLC222X7CLT3GTXDYVGNDXZTNEYNGFGKSRK7ZM7IW","4","No"
"2026/04/24 9:27:58 am GMT+5:30","Mrunal Ghorpade","mrunalghorpade16@gmail.com","GAGKWDKAZYZ7GSK2K6YZGGEDEZXL2GEHDU2NMOAU4AVHSFAVZH336FFX","5","Great application , impressive ui "
"2026/04/24 7:27:14 pm GMT+5:30","Aditi","aditidmhaske17@gmail.com","GAWOCI3JKKRFYYUJGOR7I3LZM6BMFCLUBN3EXBNLRISO6XWW3YDSTHDU","5","excellent "
"2026/04/24 7:28:07 pm GMT+5:30","Gayatri Deshmukh","ggdeshmukh12107@gmail.com","GBQQRG45YXIOLM7UR2W7DN2XP7SZVIDY4D5NWCUMRX7CEXJVVFGU26PB","5","fabulous"
"2026/04/24 7:31:28 pm GMT+5:30","Harsh Patil","24102155@apsit.edu.in","GBEK4KIFIA5EP3XTK5DWNV26XRVV22IJYN5WLTSU2M5Q3ISZMLBTT66P","5","Noo gud job
"
"2026/04/24 7:35:25 pm GMT+5:30","Krishna bidgar","krishnabidgar161@gmail.com","GAJ23UGXDYDBEBLI5JAE77LFTSQUTWJ6RIGXYAJJILDWWUHNMXEXK3X3","5","Keep going "
"2026/04/24 8:00:11 pm GMT+5:30","Jadhav Vaibhavi Ajay","vaibhavijadhav326@gmail.com","GDBIJAOFPMGQWDUUQTJ3YFHI44MWHQHPALJQG7ZDA7D5WWEDKJYA4OHA","4","Really nice website .

"
"2026/04/24 8:22:30 pm GMT+5:30","janhavi lipare","janhavilipare9948@gmail.com","GBLUMAX4IIPS54AIGD5WXRRAXISG4HLV3BE3YR3SQAD3GZSXRTVJY5GI","5","app is soo good
"
"2026/04/24 8:39:42 pm GMT+5:30","Poorva ","poorvam2006@gmail.com","GAOQKOFH6R3FG5TS6SMJO2RHAJJG2F4MMBKFGT4Z3OKHZCO7UA2AOI3E","5","No. The app is very good"2026/04/25 10:00:00 AM GMT+5:30,Zane 10,zane10@example.com,GMLEXEII5CJXR3GSI3LWY75M2REJLEO2JLGZESWNNCYSMASQYZ7IVX6Z,5,Smooth transaction.
2026/04/25 10:23:00 AM GMT+5:30,Yara 11,yara11@example.com,GQ6LISYDPHQ5LRAS4CB3IFZOM6GYMR6RKLB4AHQLI5EGL7RVQJWDRSD6,5,Very reliable.
